Film,Phase,U.S. release date,Director(s),Screenwriter(s),Producer(s)
Iron Man,1,"May 2, 2008",Jon Favreau,Mark Fergus & Hawk Ostby and Art Marcum & Matt Holloway,Avi Arad and Kevin Feige
The Incredible Hulk,1,"June 13, 2008",Louis Leterrier,Zak Penn,"Avi Arad, Gale Anne Hurd and Kevin Feige"
Iron Man 2,1,"May 7, 2010",Jon Favreau,Justin Theroux,Kevin Feige
Thor,1,"May 6, 2011",Kenneth Branagh,Ashley Edward Miller & Zack Stentz and Don Payne,Kevin Feige
Captain America: The First Avenger,1,"July 22, 2011",Joe Johnston,Christopher Markus & Stephen McFeely,Kevin Feige
The Avengers,1,"May 4, 2012",Joss Whedon,Joss Whedon,Kevin Feige
Iron Man 3,2,"May 3, 2013",Shane Black,Drew Pearce and Shane Black,Kevin Feige
Thor: The Dark World,2,"November 8, 2013",Alan Taylor,Christopher L. Yost and Christopher Markus & Stephen McFeely,Kevin Feige
Captain America: The Winter Soldier,2,"April 4, 2014",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige
Guardians of the Galaxy,2,"August 1, 2014",James Gunn,James Gunn and Nicole Perlman,Kevin Feige
Avengers: Age of Ultron,2,"May 1, 2015",Joss Whedon,Joss Whedon,Kevin Feige
Ant-Man,2,"July 17, 2015",Peyton Reed,Edgar Wright & Joe Cornish and Adam McKay & Paul Rudd,Kevin Feige
Captain America: Civil War,3,"May 6, 2016",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige
Doctor Strange,3,"November 4, 2016",Scott Derrickson,Jon Spaihts and Scott Derrickson & C. Robert Cargill,Kevin Feige
Guardians of the Galaxy Vol. 2,3,"May 5, 2017",James Gunn,James Gunn,Kevin Feige
Spider-Man: Homecoming,3,"July 7, 2017",Jon Watts,Jonathan Goldstein & John Francis Daley and Jon Watts & Christopher Ford and Chris McKenna & Erik Sommers,Kevin Feige and Amy Pascal
Thor: Ragnarok,3,"November 3, 2017",Taika Waititi,Eric Pearson and Craig Kyle & Christopher L. Yost,Kevin Feige
Black Panther,3,"February 16, 2018",Ryan Coogler,Ryan Coogler & Joe Robert Cole,Kevin Feige
Avengers: Infinity War,3,"April 27, 2018",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige
Ant-Man and the Wasp,3,"July 6, 2018",Peyton Reed,"Chris McKenna & Erik Sommers and Paul Rudd, Andrew Barrer & Gabriel Ferrari",Kevin Feige and Stephen Broussard
Captain Marvel,3,"March 8, 2019",Anna Boden and Ryan Fleck,Anna Boden & Ryan Fleck & Geneva Robertson-Dworet,Kevin Feige
Avengers: Endgame,3,"April 26, 2019",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige
